NO,rxy_dist
"101","19"
"102","19"
"103","19"
"104","19"
"105","19"
"106","19"
"107","19"
"108","19"
"109","19"
"110","19"
"111","19"
"112","19"
"113","19"
"114","19"
"115","19"
"116","19"
"117","19"
"118","19"
"119","19"
"120","19"
"121","19"
"122","19"
"123","18"
"124","18"
"125","18"
"126","18"
"127","17"
"128","17"
"129","17"
"130","17"
"131","17"
"141","19"
"142","13"
"143","13"
"144","13"
"145","13"
"146","13"
"147","13"
"148","13"
"149","13"
"150","13"
"151","13"
"152","13"
"153","13"
"154","15"
"171","13"
"172","13"
"173","14"
"174","13"
"175","13"
"176","13"
"177","13"
"178","13"
"179","13"
"180","15"
"181","14"
"182","14"
"183","14"
"184","14"
"185","14"
"186","14"
"201","19"
"202","19"
"203","18"
"204","18"
"205","18"
"206","18"
"207","18"
"208","18"
"209","18"
"210","18"
"211","18"
"212","18"
"213","18"
"214","18"
"215","18"
"216","18"
"217","18"
"218","18"
"219","18"
"220","18"
"221","18"
"222","18"
"223","18"
"224","18"
"225","18"
"226","18"
"227","18"
"228","18"
"229","18"
"230","18"
"231","18"
"232","18"
"233","18"
"234","18"
"235","18"
"236","18"
"237","18"
"238","18"
"240","17"
"241","18"
"251","17"
"252","17"
"253","17"
"254","17"
"255","17"
"256","17"
"257","17"
"258","17"
"259","17"
"260","17"
"261","17"
"262","17"
"263","17"
"264","17"
"265","17"
"266","17"
"267","17"
"268","17"
"269","17"
"270","17"
"271","17"
"272","17"
"273","17"
"274","17"
"275","17"
"276","17"
"277","17"
"278","17"
"279","17"
"280","17"
"281","17"
"282","17"
"283","17"
"284","17"
"285","17"
"286","17"
"287","17"
"288","17"
"289","17"
"290","17"
"291","17"
"292","17"
"293","17"
"294","17"
"295","17"
"301","15"
"302","15"
"303","15"
"304","15"
"305","15"
"306","15"
"307","15"
"308","15"
"309","15"
"310","15"
"311","15"
"312","15"
"313","15"
"314","15"
"315","15"
"316","15"
"317","15"
"318","15"
"319","15"
"320","15"
"321","15"
"322","15"
"323","15"
"324","15"
"325","15"
"326","15"
"327","15"
"328","15"
"329","15"
"330","15"
"331","15"
"332","15"
"333","15"
"334","15"
"335","15"
"336","15"
"337","15"
"338","15"
"339","15"
"340","15"
"341","15"
"342","15"
"343","15"
"344","15"
"345","15"
"346","15"
"347","15"
"348","15"
"349","15"
"350","15"
"351","15"
"352","15"
"353","15"
"354","15"
"355","15"
"356","15"
"357","15"
"358","15"
"359","15"
"360","15"
"361","15"
"362","15"
"363","15"
"364","15"
"365","15"
"366","15"
"367","15"
"368","15"
"369","15"
"370","15"
"371","15"
"372","15"
"373","15"
"374","15"
"375","15"
"376","15"
"377","15"
"401","19"
"402","19"
"403","16"
"404","16"
"405","16"
"406","16"
"407","16"
"408","16"
"409","16"
"410","16"
"411","16"
"412","16"
"413","16"
"414","16"
"415","16"
"416","16"
"417","16"
"418","16"
"419","16"
"431","14"
"432","16"
"433","16"
"434","14"
"435","14"
"436","14"
"437","14"
"438","14"
"439","14"
"440","14"
"441","14"
"442","14"
"443","14"
"444","14"
"445","14"
"446","14"
"447","14"
"448","14"
"449","15"
"450","15"
"451","15"
"452","15"
"453","15"
"454","15"
"455","15"
"456","15"
"457","14"
"458","14"
"459","14"
"460","14"
"461","14"
"462","14"
"501","20"
"502","20"
"503","20"
"504","20"
"505","20"
"506","20"
"507","20"
"508","20"
"509","20"
"510","20"
"511","20"
"512","20"
"513","20"
"514","20"
"515","20"
"516","20"
"517","20"
"518","20"
"519","20"
"520","20"
"521","20"
"522","20"
"523","20"
"524","20"
"525","20"
"526","20"
"527","20"
"528","20"
"529","20"
"530","20"
"531","20"
"532","20"
"533","20"
"534","20"
"535","20"
"536","20"
"537","20"
"538","20"
"539","20"
"540","20"
"541","20"
"542","20"
"543","20"
"544","20"
"545","20"
"546","20"
"547","14"
"548","14"
"549","14"
"550","14"
"551","14"
"552","20"
"553","20"
"554","20"
"555","20"
"903",
"904",
"905",
"906",
"907",
"908",
"909",
"910",
"911",
"912",
"922",
