StationName,LinkNo,TypeNo,AreaType,DLY,AM,PM,PM_PKHR,OP
12th E of D Ave,20887.0,71,Urban,361.34999999999997,53.099999999999994,68.4,21.6,239.85
15th N Section,21111.0,82,Urban,128.34,26.505,31.155,12.09,70.68
15th N of Division,3367.0,82,Urban,112.53000000000002,25.575000000000003,31.155,10.695,55.80000000000001
15th N of Fir St,0.0,0,Urban,12.0,1.0,2.5,0.5,8.5
15th S of Division,2103.0,83,Urban,140.43,18.135,31.155,8.370000000000001,91.14
15th Sof Section,1754.0,82,Urban,37.665000000000006,8.835,9.3,4.1850000000000005,19.530000000000005
15th South of Fir St,2079.0,82,Urban,42.315000000000005,4.1850000000000005,8.835,3.255,29.295
18th N of Blackburn,2114.0,82,Urban,30.069999999999997,3.3949999999999996,8.73,2.9099999999999997,17.944999999999997
18th N of Division,20352.0,82,Urban,158.565,21.39,46.035000000000004,17.67,91.14000000000001
18th N of Section,992.0,82,Urban,101.83500000000001,16.740000000000002,27.900000000000002,11.16,57.19499999999999
18th S College Wy,17940.0,82,Urban,118.825,17.945,31.04,7.2749999999999995,69.84
18th S of Blackburn,0.0,0,Urban,5.5,0.0,2.5,0.5,3.0
18th S of Division,20350.0,82,Urban,134.385,19.53,34.41,9.3,80.445
18th S of Fir,2081.0,82,Urban,132.06,26.04,30.69,10.23,75.33000000000001
18th S of Section,3468.0,82,Urban,84.63000000000002,16.740000000000002,20.46,7.904999999999999,47.430000000000014
22nd E of M Ave,18385.0,82,Urban,97.65000000000002,10.350000000000001,24.75,5.4,62.55000000000001
22nd W of R Ave,20460.0,82,Urban,104.85000000000001,14.85,17.55,3.6,72.45000000000002
2nd N of Montgomery,20354.0,83,Urban,277.74999999999994,37.875,73.73,21.715,166.14499999999992
2nd S of Montgomery,690.0,82,Urban,221.695,44.44,39.39,9.09,137.865
30th N of Fir,21267.0,82,Urban,100.44000000000001,22.32,23.25,9.3,54.870000000000005
30th N of Martin Rd,2453.0,82,Urban,91.14,13.950000000000001,22.32,6.9750000000000005,54.87
30th S of Division,21113.0,82,Urban,19.994999999999997,1.395,3.255,1.86,15.344999999999999
30th S of Fir St,2070.0,82,Urban,75.795,14.415000000000001,17.67,6.9750000000000005,43.71
30th S of Martin Rd,21272.0,82,Urban,240.40499999999997,35.80500000000001,54.405,18.6,150.19499999999996
30th-NofDivision,18015.0,82,Urban,66.03000000000002,8.835,15.81,5.58,41.38500000000001
32nd E of M Ave,20529.0,72,Urban,318.6,46.8,72.45,20.7,199.35000000000002
32nd Street West of M Avenue,20533.0,72,Urban,211.95,33.75,53.1,14.4,125.1
3rd N of Morris,0.0,0,Urban,115.5,12.5,35.5,10.0,67.5
41st E of H Ave,3818.0,72,Urban,99.45,15.749999999999998,21.150000000000002,8.55,62.55
41st W of H Ave,3773.0,72,Urban,83.7,5.8500000000000005,18.0,5.8500000000000005,59.85000000000001
4th N of Fulton,21264.0,83,Urban,287.345,35.855,77.26500000000001,21.715000000000003,174.22500000000002
6th btwn I & J,20906.0,82,Urban,57.15,12.15,11.7,2.7,33.3
A Ave N 41st St,14923.0,72,Urban,176.85000000000005,28.799999999999997,38.699999999999996,12.15,109.35000000000008
Alger Cain Lake Rd East of Old Hwy 99 N,13071.0,62,Urban,201.94,30.82,40.94,17.02,130.18
Allen West W of Avon Allen,2559.0,62,Urban,120.435,19.995,23.25,9.765,77.19
Anaco Beach @ City Limits,18497.0,52,Urban,113.85000000000001,17.549999999999997,26.1,9.0,70.20000000000002
Anaco Beach S of Sunset,14989.0,72,Urban,103.95,11.25,22.5,4.5,70.2
Anacopper S of Oakes,3767.0,82,Urban,98.10000000000001,13.05,18.0,3.15,67.05000000000001
Anacortes N of SR20,0.0,0,Urban,3.5,0.0,0.0,0.0,3.5
Anacortes S of Gilkey,3042.0,82,Urban,312.34,41.86,79.58000000000001,33.120000000000005,190.89999999999995
Anderson E of 99 S,17337.0,62,Urban,717.3150000000003,139.68,156.65499999999997,49.955,420.98000000000025
Anderson EofCedar,786.0,65,Urban,243.95499999999998,20.369999999999997,71.78,33.465,151.80499999999998
Anderson EofCedarWB,786.0,65,Urban,267.7200000000001,46.56,52.38,17.46,168.7800000000001
Avon Allen Rd N of Josh Wilson,20492.0,32,Urban,164.14500000000004,25.575000000000003,42.78,13.95,95.79000000000005
Avon Allen Rd N of SR20,510.0,62,Urban,131.13000000000002,21.855,33.480000000000004,11.16,75.79500000000002
Avon Allen Rd S of Josh Wilson,20488.0,32,Urban,112.065,15.345,32.085,11.625,64.63499999999999
Avon Allen Rd S of SR20,21231.0,62,Urban,171.12,21.39,46.5,16.740000000000002,103.23000000000002
Baker Heights Rd S of Gunderson,0.0,0,Urban,7.0,0.5,0.5,0.0,6.0
Bayview Edison Rd N of Josh Wilson Rd,2684.0,82,Urban,56.730000000000004,5.115,18.6,7.905,33.015
Bayview Edison Rd N of SR20,21228.0,32,Urban,63.24,4.65,18.6,5.58,39.99
Bayview Edison Rd W of Farm to Market,17820.0,62,Urban,48.925,4.2749999999999995,17.575,3.8,27.075
Beaver Lake Rd South of SR 9,2900.0,62,Urban,101.52,17.729999999999997,18.67,7.3,65.11999999999999
Best Rd N of Chilberg,20997.0,62,Urban,260.26000000000005,43.68000000000001,58.24,20.475,158.34000000000003
Best Rd NW of Fir Island Moore intersection,21207.0,52,Urban,298.025,46.865,65.52000000000001,20.93,185.63999999999996
Best Rd S of Chilberg,13610.0,62,Urban,394.4849999999999,50.96,81.9,34.58,261.6249999999999
Best Rd S of SR20,1149.0,62,Urban,229.71,29.759999999999998,53.01,10.695,146.94000000000003
Blackburn E of 99 S,756.0,82,Urban,223.10000000000005,44.620000000000005,54.805,17.945,123.67500000000004
Blackburn E of Laventure,21100.0,62,Urban,144.15,14.415000000000001,37.665,13.485,92.07000000000002
Blackburn W of 18th,21096.0,82,Urban,128.04000000000002,31.525,29.1,11.155000000000001,67.41500000000002
Blackburn W of SL,21099.0,82,Urban,127.41000000000003,19.995,37.665,12.555,69.75000000000003
Blackburn-Wof99 S,3532.0,82,Urban,178.55999999999997,31.155,51.61500000000001,12.090000000000002,95.78999999999996
Blodgett N of Ander,3539.0,82,Urban,9.3,0.93,3.72,0.465,4.65
Blodgett S of Ander,9818.0,62,Urban,70.215,9.3,15.345,5.58,45.57000000000001
Bow Hill Rd E of SR 11,21238.0,52,Urban,53.675000000000004,7.6,14.25,3.3249999999999997,31.825000000000003
Bow Hill Rd W of Ershig,20144.0,32,Urban,74.57500000000002,10.924999999999999,16.15,7.125,47.50000000000002
Bow Hill Rd W of Old Hwy 99 N,21245.0,62,Urban,271.40000000000003,26.22,66.24000000000001,18.86,178.94000000000003
Broad E of I-5,714.0,85,Urban,491.86999999999995,71.205,115.14,37.875,305.525
Bulson Rd N of SR534,0.0,0,Urban,42.5,6.5,9.0,0.0,27.0
Bulson Rd S of SR534,0.0,0,Urban,46.5,4.5,11.0,4.0,31.0
Burmaster Rd W of Knute Anderson Rd,0.0,0,Urban,39.0,2.5,9.0,4.0,27.5
CS00195,,1,Urban,31.742620000000002,6.462820000000001,4.7775,1.40322,20.5023
CS00932,,25,Urban,1007.7904200000003,147.0105,221.31928,62.82761333333334,639.4606400000002
CS01077,,1,Urban,304.6631466666668,48.748093333333344,71.38980333333333,30.437376666666665,184.52525000000014
CS01258,,31,Urban,310.2188100000001,58.356080000000006,58.375280000000004,18.193,193.48745000000005
CS01312,,25,Urban,822.5690199999999,115.96676,185.55264,72.08838,521.0496199999999
CS01545,,31,Urban,680.0132950000001,97.39891500000002,163.893745,56.108545,418.72063500000013
CS01677,,1,Urban,62.587979999999995,6.4664600000000005,15.164240000000001,4.499040000000001,40.95728
CS01705,,1,Urban,121.54687999999999,18.86066,9.24742,1.96014,93.43879999999999
CS02027,,1,Urban,75.79571999999999,13.189540000000001,13.486200000000002,3.6563800000000004,49.119979999999984
CS02129,,31,Urban,163.0617,17.268900000000002,39.0411,13.018500000000001,106.7517
CS02380,,25,Urban,563.17898,83.16308,125.79597333333334,35.99232,354.2199266666667
CS02530,,1,Urban,115.05858,28.43022,12.6217,3.3670000000000004,74.00666000000001
CS02633,,1,Urban,315.98658000000006,45.5,55.9013,15.724800000000002,214.58528000000007
