StationName,LinkNo,TypeNo,AreaType,DLY,AM,PM,PM_PKHR,OP
12th E of D Ave,20887.0,71,Urban,63.900000000000006,7.2,13.500000000000002,5.4,43.2
15th N Section,21111.0,82,Urban,26.039999999999996,7.44,4.65,0.465,13.949999999999994
15th N of Division,3367.0,82,Urban,13.949999999999998,3.2550000000000003,3.255,0.465,7.439999999999997
15th N of Fir St,0.0,0,Urban,0.5,0.0,0.0,0.0,0.5
15th S of Division,2103.0,83,Urban,37.199999999999996,6.9750000000000005,6.51,0.93,23.714999999999996
15th Sof Section,1754.0,82,Urban,17.205,6.9750000000000005,2.79,0.0,7.439999999999997
15th South of Fir St,2079.0,82,Urban,12.555,1.86,2.79,0.0,7.905
18th N of Blackburn,2114.0,82,Urban,54.80499999999999,14.065000000000001,12.125,2.91,28.614999999999995
18th N of Division,20352.0,82,Urban,21.854999999999997,5.115,5.58,0.93,11.159999999999995
18th N of Section,992.0,82,Urban,28.364999999999995,8.835,4.1850000000000005,1.395,15.344999999999994
18th S College Wy,17940.0,82,Urban,32.01,11.155,8.245,0.485,12.609999999999998
18th S of Blackburn,0.0,0,Urban,0.0,0.0,0.0,0.0,0.0
18th S of Division,20350.0,82,Urban,26.969999999999995,5.58,6.9750000000000005,1.86,14.414999999999992
18th S of Fir,2081.0,82,Urban,28.829999999999995,8.835,5.115,0.465,14.879999999999994
18th S of Section,3468.0,82,Urban,57.195,13.950000000000001,13.020000000000001,3.72,30.224999999999994
22nd E of M Ave,18385.0,82,Urban,4.950000000000001,0.45,1.35,0.0,3.150000000000001
22nd W of R Ave,20460.0,82,Urban,13.499999999999998,3.1500000000000004,2.25,1.35,8.099999999999998
2nd N of Montgomery,20354.0,83,Urban,112.61500000000002,30.805,22.725,5.555,59.08500000000003
2nd S of Montgomery,690.0,82,Urban,67.16500000000002,23.735,10.605,1.515,32.82500000000002
30th N of Fir,21267.0,82,Urban,36.735,10.695,9.765,2.325,16.275
30th N of Martin Rd,2453.0,82,Urban,17.205,2.325,3.72,0.93,11.159999999999998
30th S of Division,21113.0,82,Urban,0.465,0.0,0.0,0.0,0.465
30th S of Fir St,2070.0,82,Urban,13.484999999999998,6.51,4.185,0.93,2.7899999999999983
30th S of Martin Rd,21272.0,82,Urban,6.975,1.86,0.465,0.465,4.6499999999999995
30th-NofDivision,18015.0,82,Urban,13.95,4.185,5.58,1.395,4.1850000000000005
32nd E of M Ave,20529.0,72,Urban,17.549999999999997,1.8,3.6,0.9,12.149999999999997
32nd Street West of M Avenue,20533.0,72,Urban,18.449999999999996,4.5,2.7,0.0,11.249999999999996
3rd N of Morris,0.0,0,Urban,7.5,2.0,0.0,0.0,5.5
41st E of H Ave,3818.0,72,Urban,4.050000000000001,0.9,0.0,0.0,3.150000000000001
41st W of H Ave,3773.0,72,Urban,39.150000000000006,0.0,13.95,7.2,25.200000000000006
4th N of Fulton,21264.0,83,Urban,85.345,21.715,14.645,5.555,48.985
6th btwn I & J,20906.0,82,Urban,8.100000000000001,2.25,0.9,0.45,4.950000000000001
A Ave N 41st St,14923.0,72,Urban,9.45,1.8,2.25,0.45,5.3999999999999995
Alger Cain Lake Rd East of Old Hwy 99 N,13071.0,62,Urban,36.80000000000001,10.580000000000002,10.120000000000001,5.06,16.10000000000001
Allen West W of Avon Allen,2559.0,62,Urban,4.65,1.395,0.465,0.465,2.7900000000000005
Anaco Beach @ City Limits,18497.0,52,Urban,15.749999999999998,1.35,1.8,0.45,12.599999999999998
Anaco Beach S of Sunset,14989.0,72,Urban,2.7,0.45,1.35,0.45,0.8999999999999999
Anacopper S of Oakes,3767.0,82,Urban,16.2,0.9,5.85,1.35,9.45
Anacortes N of SR20,0.0,0,Urban,2.0,1.0,1.0,0.0,0.0
Anacortes S of Gilkey,3042.0,82,Urban,23.460000000000008,3.22,8.74,2.7600000000000002,11.500000000000009
Anderson E of 99 S,17337.0,62,Urban,66.92999999999999,8.245000000000001,14.549999999999999,2.91,44.13499999999999
Anderson EofCedar,786.0,65,Urban,27.159999999999997,4.364999999999999,6.79,0.97,16.005
Anderson EofCedarWB,786.0,65,Urban,25.705,4.365,7.76,1.94,13.579999999999997
Avon Allen Rd N of Josh Wilson,20492.0,32,Urban,15.809999999999997,5.115,3.72,0.0,6.974999999999996
Avon Allen Rd N of SR20,510.0,62,Urban,18.599999999999998,6.9750000000000005,5.115,1.395,6.509999999999996
Avon Allen Rd S of Josh Wilson,20488.0,32,Urban,10.695,1.395,4.1850000000000005,0.465,5.115
Avon Allen Rd S of SR20,21231.0,62,Urban,21.854999999999997,2.79,4.1850000000000005,1.395,14.879999999999997
Baker Heights Rd S of Gunderson,0.0,0,Urban,5.0,1.0,1.5,1.0,2.5
Bayview Edison Rd N of Josh Wilson Rd,2684.0,82,Urban,5.115,0.465,1.86,0.0,2.79
Bayview Edison Rd N of SR20,21228.0,32,Urban,6.975,1.86,1.395,0.465,3.7199999999999993
Bayview Edison Rd W of Farm to Market,17820.0,62,Urban,9.499999999999998,3.8000000000000003,1.9,0.475,3.7999999999999976
Beaver Lake Rd South of SR 9,2900.0,62,Urban,9.55,0.91,2.72,1.36,5.92
Best Rd N of Chilberg,20997.0,62,Urban,35.03499999999999,5.46,6.37,1.82,23.204999999999988
Best Rd NW of Fir Island Moore intersection,21207.0,52,Urban,43.67999999999999,7.734999999999999,6.824999999999999,2.73,29.119999999999994
Best Rd S of Chilberg,13610.0,62,Urban,46.40999999999998,8.19,9.1,2.73,29.119999999999983
Best Rd S of SR20,1149.0,62,Urban,25.574999999999996,3.7199999999999998,6.045,1.395,15.809999999999997
Blackburn E of 99 S,756.0,82,Urban,56.745,11.64,14.065,3.395,31.04
Blackburn E of Laventure,21100.0,62,Urban,15.345,3.255,4.65,0.465,7.4399999999999995
Blackburn W of 18th,21096.0,82,Urban,50.925000000000004,12.125,9.7,1.94,29.100000000000005
Blackburn W of SL,21099.0,82,Urban,52.080000000000005,13.020000000000001,11.625,0.93,27.435000000000002
Blackburn-Wof99 S,3532.0,82,Urban,67.425,14.415000000000001,14.415,1.395,38.595
Blodgett N of Ander,3539.0,82,Urban,6.51,1.86,2.325,0.0,2.3249999999999993
Blodgett S of Ander,9818.0,62,Urban,11.625,2.79,3.2550000000000003,0.0,5.58
Bow Hill Rd E of SR 11,21238.0,52,Urban,19.950000000000003,6.65,6.175,0.0,7.125000000000003
Bow Hill Rd W of Ershig,20144.0,32,Urban,19.95,6.65,5.7,0.95,7.599999999999999
Bow Hill Rd W of Old Hwy 99 N,21245.0,62,Urban,45.08,6.4399999999999995,15.180000000000001,4.140000000000001,23.46
Broad E of I-5,714.0,85,Urban,70.69999999999999,12.120000000000001,11.615,5.555,46.96499999999998
Bulson Rd N of SR534,0.0,0,Urban,9.5,3.5,4.0,0.0,2.0
Bulson Rd S of SR534,0.0,0,Urban,7.0,1.0,3.0,1.5,3.0
Burmaster Rd W of Knute Anderson Rd,0.0,0,Urban,4.5,2.0,2.0,1.0,0.5
CS00195,,1,Urban,1.1284,0.0,0.0,0.0,1.1284
CS00932,,25,Urban,167.57043333333337,25.768166666666666,34.48111333333334,9.59322,107.32115333333336
CS01077,,1,Urban,25.277070000000002,3.1237266666666668,4.554853333333334,1.1335566666666668,17.59849
CS01258,,31,Urban,108.27020999999998,19.783710000000003,24.95456,8.956620000000001,63.53193999999998
CS01312,,25,Urban,16.148253333333333,4.512993333333334,3.3852000000000007,0.8365933333333334,8.250059999999998
CS01545,,31,Urban,53.193870000000004,10.928130000000001,16.3072,3.8655850000000007,25.95854
CS01677,,1,Urban,1.6816799999999998,0.2821,0.27846,0.0,1.12112
CS01705,,1,Urban,0.5642,0.2821,0.0,0.0,0.2821
CS02027,,1,Urban,13.753740000000002,2.5207000000000006,1.4032200000000001,0.8426600000000001,9.829820000000002
CS02129,,31,Urban,5.038199999999999,1.0617,0.7944000000000001,0.5295000000000001,3.182099999999999
CS02380,,25,Urban,161.02814000000004,24.241186666666664,35.10537333333333,11.714126666666667,101.68158000000004
CS02530,,1,Urban,12.6399,2.2531600000000003,0.84266,0.5642,9.54408
CS02633,,1,Urban,17.970679999999998,3.9312000000000005,3.0849,0.5642,10.954579999999996
CS02879,,1,Urban,22.153343333333336,4.826639999999999,2.55437,0.8514566666666666,14.772333333333334
CS02926,,31,Urban,5.1277099999999995,0.8153,1.8073000000000001,0.6612300000000001,2.5051099999999997
CS03253,,1,Urban,2.53162,0.2821,0.2821,0.0,1.9674200000000004
CS03347,,1,Urban,10.207166666666666,2.2722700000000002,0.8514566666666668,0.28725666666666666,7.083439999999999
CS03650,,31,Urban,20.69622,3.6239,3.59786,0.65162,13.47446
CS03774,,1,Urban,17.981599999999993,2.24588,1.1284,0.0,14.607319999999994
CS04191,,1,Urban,25.252044999999995,5.124210000000001,2.56984,0.430885,17.557994999999995
CS04395,,1,Urban,9.188573333333334,1.4566066666666666,3.1492066666666667,1.1745066666666668,4.58276
CS04838,,71,Urban,9.2466,3.3624,3.3624,1.6812,2.5218000000000007
CS05031,,1,Urban,5.0596,0.0,0.0,0.0,5.0596
CS05340,,1,Urban,13.493480000000003,1.9674200000000002,3.9384799999999998,0.8426600000000001,7.587580000000003
CS05950,,25,Urban,154.3353,24.2718,30.9204,10.5189,99.14309999999998
CS06057,,71,Urban,6.598500000000001,1.6494,1.9242000000000004,0.0,3.024900000000001
CS06098,,1,Urban,8.256430000000002,0.83538,2.08845,0.41769,5.332600000000002
CS06341,,1,Urban,12.766693333333334,2.544056666666667,0.5693566666666667,0.0,9.653279999999999
CS06351,,1,Urban,29.76792,6.45918,5.3380600000000005,2.53162,17.97068
CS06426,,31,Urban,34.81356,8.83314,7.215492,2.774304,18.764928
CS06602,,1,Urban,1.96378,0.56056,0.56056,0.0,0.8426600000000002
CS06634,,1,Urban,12.64718,1.6853200000000002,0.0,0.0,10.96186
CS06652,,1,Urban,13.482560000000001,2.81008,3.37064,1.1211200000000001,7.30184
CS07012,,1,Urban,30.05366,5.6128800000000005,4.7847800000000005,1.1211200000000001,19.656
CS07082,,1,Urban,14.48265,1.7617600000000002,2.57348,0.8808800000000001,10.147409999999999
CS07285,,71,Urban,21.231,5.2233,4.6851,0.5502,11.3226
CS07552,,1,Urban,11.925550000000001,2.2774266666666665,0.8463,0.2821,8.801823333333335
CS07587,,1,Urban,16.45977666666667,2.5543700000000005,3.405826666666667,0.2821,10.499580000000002
CS07829,,1,Urban,13.366080000000002,2.5061400000000003,1.67076,0.0,9.189180000000002
CS09154,,25,Urban,26.828899999999997,4.901015,6.602715,1.274105,15.325169999999996
CS09289,,1,Urban,29.48582,5.05232,6.17708,3.0921800000000004,18.256420000000002
CS10725,,31,Urban,19.109150000000007,4.3265899999999995,4.936730000000001,1.8202800000000001,9.845830000000007
CS11345,,1,Urban,58.64859,6.83592,10.72071,2.14851,41.09196
CS11682,,1,Urban,19.27562,1.9850133333333333,2.5492133333333333,1.1284,14.741393333333331
CS12189,,71,Urban,135.82050000000004,22.016400000000004,28.112700000000004,8.2599,85.69140000000003
CS12306,,1,Urban,21.612499999999997,2.24588,3.6491,1.40322,15.717519999999997
CS12489,,42,Urban,18.155216666666664,2.29748,2.8644200000000004,0.8589733333333335,12.993316666666663
Calhoun Rd E of Best,21210.0,31,Urban,7.28,1.82,2.275,0.91,3.185
Campbell Lake Rd SE of Heart Lake Rd,18540.0,62,Urban,19.994999999999997,7.44,6.51,1.395,6.044999999999996
Cascade River Rd begin of Gravel,0.0,0,Urban,1.5,0.0,0.5,0.5,1.0
Cedardale N of Ander,15449.0,62,Urban,39.99000000000001,9.3,6.510000000000001,2.325,24.180000000000007
Cedardale Rd N of Milltown,9544.0,32,Urban,7.650000000000001,2.25,1.8,0.0,3.6000000000000014
Cedardale Rd N of Old 99 South,16163.0,62,Urban,72.45,10.350000000000001,21.150000000000002,4.95,40.95
Cedardale Rd N of SR534,9636.0,32,Urban,13.500000000000002,3.1500000000000004,5.4,0.9,4.950000000000001
Cedardale Rd S of Old 99 South,16169.0,32,Urban,25.650000000000006,4.5,6.75,1.35,14.400000000000006
Cedardale Rd S of SR534,13887.0,32,Urban,7.65,1.8,2.25,0.0,3.6000000000000005
Chilberg Rd E of LaConner Whitney,17813.0,62,Urban,35.805,8.835,6.51,0.93,20.46
Chilberg Rd W of Best,21213.0,31,Urban,25.479999999999993,5.914999999999999,7.28,1.365,12.284999999999993
Christianson S of SR20,18583.0,62,Urban,5.400000000000001,0.9,1.35,0.45,3.150000000000001
Chuckanut Dr W of B BLVD,15240.0,63,Urban,85.55999999999999,22.54,17.94,5.98,45.079999999999984
Collins Road N of Cook Rd,1249.0,52,Urban,9.45,2.25,3.6,1.8,3.599999999999999
Collins Road S of Cook Rd,20704.0,62,Urban,16.2,4.05,5.8500000000000005,1.8,6.299999999999998
Colony Mountain Dr E of Colony Rd,0.0,0,Urban,9.0,2.0,5.0,0.5,2.0
Colony Rd E of Ershig,17433.0,32,Urban,11.399999999999999,3.8,3.8,0.95,3.799999999999999
Colony Rd S of Lake Samish Rd,21242.0,32,Urban,3.68,0.92,0.92,0.46,1.8400000000000003
Colony Rd W of Ershig,20124.0,52,Urban,9.975,0.95,5.225,1.9,3.8000000000000007
Colony Rd W of RRxing,21240.0,52,Urban,8.075000000000001,0.95,1.9,0.95,5.225000000000001
Commercial N of 11th,20466.0,82,Urban,10.8,0.9,3.6,0.9,6.300000000000001
Commercial btwn 36 & 37,3829.0,82,Urban,31.5,2.25,16.2,15.75,13.05
Conway Frontage Rd N of Peter Johnson,2312.0,32,Urban,26.099999999999998,5.85,6.300000000000001,0.9,13.95
Conway Frontage Rd S of Peter Johnson,21276.0,32,Urban,45.0,6.75,13.049999999999999,3.6,25.200000000000003
Cook @ City Limits,20153.0,32,Urban,153.89999999999998,26.6,27.549999999999997,4.2749999999999995,99.74999999999999
Cook Rd E of Old Hwy 99 North,219.0,62,Urban,166.98000000000008,28.98,40.480000000000004,13.8,97.52000000000008
Cook Rd E of SR 11,21056.0,32,Urban,18.599999999999998,5.58,2.325,0.93,10.694999999999997
Cook Rd W of City Limits,20153.0,32,Urban,152.55,27.0,31.5,7.2,94.05000000000001
Cook Rd W of Collins,224.0,33,Urban,71.55000000000001,10.35,22.5,6.75,38.70000000000001
Cook Rd W of Old 99 North,218.0,62,Urban,138.46,21.619999999999997,25.759999999999998,10.58,91.08000000000001
Cook Rd W of SR 11,17494.0,62,Urban,12.089999999999998,3.72,1.86,0.465,6.509999999999997
D Ave btwn 29th & 30th,20523.0,72,Urban,14.85,1.35,4.95,1.8,8.55
D Avenue North of 12th Street,6296.0,82,Urban,0.45,0.0,0.0,0.0,0.45
D Avenue South of 12th Street,18396.0,72,Urban,14.399999999999999,1.35,2.7,1.35,10.349999999999998
D'arcy W of Farm to Market Rd,17478.0,32,Urban,10.45,2.375,1.9,0.0,6.174999999999999
District Line Rd N of Anderson Rd,17100.0,62,Urban,8.280000000000001,4.6000000000000005,2.3000000000000003,0.46,1.3800000000000003
Division E of 15th,3456.0,83,Urban,58.12500000000001,11.16,14.88,1.86,32.085
Division E of 18th,3459.0,83,Urban,43.245,7.905,16.275000000000002,2.79,19.064999999999994
Division E of 30th,2461.0,81,Urban,16.275,6.51,4.1850000000000005,0.0,5.579999999999998
Division E of Laven,1501.0,81,Urban,27.434999999999995,6.045,10.23,3.255,11.159999999999993
